number,priority,category,assignment_group,breach_probability,flagged,actual,risk_band
INC0032772,3 - Moderate,Category 46,Other,0.364,1,1,Medium
INC0028648,3 - Moderate,Category 23,Group 20,0.363,1,1,Medium
INC0028791,3 - Moderate,Category 51,Other,0.363,1,1,Medium
INC0031847,3 - Moderate,Category 46,Group 57,0.363,1,0,Medium
INC0032816,3 - Moderate,Category 23,Group 20,0.363,1,0,Medium
INC0108640,3 - Moderate,Category 43,Group 70,0.363,1,1,Medium
INC0031131,3 - Moderate,Category 23,Group 20,0.363,1,1,Medium
INC0030651,3 - Moderate,Category 57,Other,0.362,1,1,Medium
INC0028410,3 - Moderate,Category 53,Group 69,0.362,1,0,Medium
INC0028759,3 - Moderate,Category 57,Group 65,0.362,1,1,Medium
INC0028924,3 - Moderate,Category 61,Group 73,0.361,1,1,Medium
INC0029333,3 - Moderate,Category 46,Group 22,0.361,1,1,Medium
INC0032571,3 - Moderate,Category 53,Group 25,0.361,1,1,Medium
INC0032688,3 - Moderate,Category 57,Group 65,0.361,1,1,Medium
INC0031526,3 - Moderate,Category 46,Group 22,0.361,1,1,Medium
INC0034338,3 - Moderate,Category 9,Group 25,0.36,1,1,Medium
INC0118952,3 - Moderate,Category 42,Group 70,0.36,1,0,Medium
INC0028404,3 - Moderate,Category 53,Group 54,0.36,1,1,Medium
INC0028542,3 - Moderate,Category 23,Group 20,0.36,1,1,Medium
INC0032286,3 - Moderate,Category 23,Group 20,0.36,1,0,Medium
INC0032293,3 - Moderate,Category 23,Group 20,0.36,1,0,Medium
INC0034033,3 - Moderate,Category 51,Group 54,0.36,1,0,Medium
INC0032645,3 - Moderate,Category 42,Group 70,0.36,1,0,Medium
INC0028401,3 - Moderate,Category 53,Group 54,0.36,1,0,Medium
INC0030187,3 - Moderate,Category 53,Other,0.36,1,1,Medium
INC0028787,3 - Moderate,Category 44,Group 5,0.36,1,0,Medium
INC0031643,3 - Moderate,Category 46,Group 33,0.359,1,0,Medium
INC0028753,3 - Moderate,Category 9,Group 29,0.359,1,0,Medium
INC0030457,3 - Moderate,Category 53,Group 25,0.358,1,0,Medium
INC0030521,3 - Moderate,Category 23,Group 20,0.358,1,0,Medium
INC0032738,3 - Moderate,Category 8,Other,0.358,1,1,Medium
INC0032290,3 - Moderate,Category 46,Other,0.358,1,1,Medium
INC0032505,3 - Moderate,Category 42,Group 70,0.358,1,0,Medium
INC0029696,3 - Moderate,Category 46,Group 39,0.358,1,1,Medium
INC0031551,3 - Moderate,Category 46,Group 6,0.358,1,1,Medium
INC0034318,3 - Moderate,Category 44,Group 5,0.357,1,0,Medium
INC0029663,3 - Moderate,Category 19,Other,0.356,1,1,Medium
INC0032857,3 - Moderate,Category 57,Group 65,0.356,1,0,Medium
INC0033144,3 - Moderate,Category 23,Group 20,0.356,1,0,Medium
INC0034221,3 - Moderate,Category 53,Other,0.356,1,1,Medium
INC0033857,3 - Moderate,Category 46,Group 22,0.356,1,0,Medium
INC0032479,3 - Moderate,Category 19,Other,0.356,1,0,Medium
INC0030510,3 - Moderate,Category 9,Group 25,0.356,1,0,Medium
INC0032577,3 - Moderate,Category 46,Group 22,0.356,1,0,Medium
INC0028896,3 - Moderate,Category 53,Group 25,0.356,1,0,Medium
INC0028660,3 - Moderate,Category 46,Group 39,0.356,1,0,Medium
INC0028412,3 - Moderate,Category 42,Group 10,0.355,1,1,Medium
INC0030376,3 - Moderate,Category 34,Group 69,0.355,1,1,Medium
INC0029094,3 - Moderate,Category 53,Other,0.355,1,0,Medium
INC0034025,3 - Moderate,Category 57,Other,0.355,1,0,Medium
INC0106579,3 - Moderate,Category 45,Group 70,0.355,1,1,Medium
INC0029290,3 - Moderate,Category 57,Group 58,0.355,1,0,Medium
INC0031828,3 - Moderate,Category 53,Other,0.355,1,0,Medium
INC0031789,3 - Moderate,Category 46,Group 22,0.355,1,0,Medium
INC0033888,3 - Moderate,Category 23,Group 20,0.354,1,0,Medium
INC0030292,3 - Moderate,Category 57,Group 65,0.354,1,0,Medium
INC0032853,3 - Moderate,Category 53,Group 25,0.354,1,1,Medium
INC0032815,3 - Moderate,Category 9,Group 28,0.354,1,1,Medium
INC0030208,3 - Moderate,Category 9,Group 29,0.354,1,0,Medium
INC0030213,3 - Moderate,Category 9,Group 29,0.354,1,0,Medium
INC0030040,3 - Moderate,Category 46,Group 31,0.354,1,0,Medium
INC0030212,3 - Moderate,Category 9,Group 29,0.354,1,0,Medium
INC0031595,3 - Moderate,Category 46,Group 22,0.354,1,1,Medium
INC0031555,3 - Moderate,Category 46,Group 10,0.354,1,0,Medium
INC0030275,3 - Moderate,Category 57,Group 65,0.354,1,0,Medium
INC0030318,3 - Moderate,Category 53,Group 25,0.354,1,1,Medium
INC0048349,3 - Moderate,Category 42,Other,0.354,1,0,Medium
INC0032309,3 - Moderate,Category 61,Group 25,0.354,1,1,Medium
INC0031057,3 - Moderate,Category 19,Group 25,0.354,1,0,Medium
INC0028517,3 - Moderate,Category 61,Group 73,0.353,1,1,Medium
INC0030573,3 - Moderate,Category 57,Group 65,0.353,1,0,Medium
INC0032876,3 - Moderate,Category 53,Group 69,0.353,1,0,Medium
INC0030962,3 - Moderate,Category 53,Group 25,0.353,1,0,Medium
INC0032312,3 - Moderate,Category 46,Group 6,0.353,1,1,Medium
INC0029294,3 - Moderate,Category 26,Group 70,0.353,1,0,Medium
INC0033599,3 - Moderate,Category 23,Group 20,0.353,1,0,Medium
INC0032725,3 - Moderate,Category 44,Group 5,0.352,1,1,Medium
INC0032215,3 - Moderate,Category 23,Group 20,0.352,1,1,Medium
INC0034324,3 - Moderate,Category 9,Group 25,0.352,1,0,Medium
INC0033974,3 - Moderate,Category 9,Group 25,0.351,1,1,Medium
INC0030607,3 - Moderate,Category 57,Group 65,0.351,1,1,Medium
INC0033372,3 - Moderate,Category 37,Group 55,0.351,1,0,Medium
INC0034131,3 - Moderate,Category 44,Group 5,0.351,1,0,Medium
INC0028351,3 - Moderate,Category 9,Group 25,0.351,1,0,Medium
INC0032451,3 - Moderate,Category 53,Other,0.351,1,1,Medium
INC0031564,3 - Moderate,Category 23,Group 20,0.351,1,0,Medium
INC0033418,3 - Moderate,Category 53,Group 76,0.351,1,0,Medium
INC0032769,3 - Moderate,Category 57,Group 65,0.35,1,0,Medium
INC0031485,3 - Moderate,Category 28,Other,0.35,1,1,Medium
INC0030076,3 - Moderate,Category 57,Group 65,0.35,1,0,Medium
INC0029138,3 - Moderate,Category 57,Group 65,0.35,1,1,Medium
INC0030648,3 - Moderate,Category 37,Other,0.35,1,0,Medium
INC0032604,3 - Moderate,Category 61,Group 73,0.35,1,1,Medium
INC0028750,3 - Moderate,Category 37,Group 29,0.35,1,1,Medium
INC0031515,3 - Moderate,Category 42,Group 55,0.35,1,0,Medium
INC0033016,3 - Moderate,Category 61,Group 73,0.35,1,0,Medium
INC0030582,3 - Moderate,Category 57,Group 65,0.35,1,1,Medium
INC0033162,3 - Moderate,Category 23,Group 20,0.349,1,1,Medium
INC0031195,3 - Moderate,Category 19,Other,0.349,1,0,Medium
INC0030675,3 - Moderate,Category 23,Group 20,0.349,1,1,Medium
INC0031744,3 - Moderate,Category 57,Group 58,0.348,1,0,Medium
INC0031523,3 - Moderate,Category 42,Group 10,0.348,1,1,Medium
INC0032401,3 - Moderate,Category 57,Group 65,0.348,1,1,Medium
INC0031163,3 - Moderate,Category 44,Group 5,0.348,1,1,Medium
INC0032155,3 - Moderate,Category 46,Group 22,0.348,1,0,Medium
INC0116746,3 - Moderate,Category 56,Group 25,0.348,1,0,Medium
INC0032439,3 - Moderate,Category 57,Group 51,0.348,1,0,Medium
INC0032185,3 - Moderate,Category 53,Group 20,0.347,1,1,Medium
INC0030243,3 - Moderate,Category 46,Group 10,0.347,1,0,Medium
INC0028956,3 - Moderate,Category 53,Group 25,0.347,1,0,Medium
INC0033766,3 - Moderate,Category 46,Group 22,0.347,1,0,Medium
INC0033808,3 - Moderate,Category 46,Group 6,0.347,1,0,Medium
INC0033751,3 - Moderate,Category 57,Group 65,0.347,1,1,Medium
INC0034308,3 - Moderate,Category 57,Group 65,0.347,1,0,Medium
INC0031361,3 - Moderate,Category 53,Group 76,0.347,1,0,Medium
INC0032368,3 - Moderate,Category 37,Group 25,0.347,1,1,Medium
INC0031582,3 - Moderate,Category 53,Group 29,0.346,1,0,Medium
INC0029724,3 - Moderate,Category 57,Group 33,0.346,1,1,Medium
INC0028352,3 - Moderate,Category 57,Group 25,0.346,1,1,Medium
INC0032593,3 - Moderate,Category 44,Group 5,0.346,1,1,Medium
INC0028803,3 - Moderate,Category 23,Group 20,0.346,1,0,Medium
INC0028805,3 - Moderate,Category 23,Group 20,0.346,1,0,Medium
INC0030641,3 - Moderate,Category 9,Group 25,0.346,1,0,Medium
INC0028806,3 - Moderate,Category 23,Group 20,0.346,1,0,Medium
INC0029846,3 - Moderate,Category 53,Group 20,0.346,1,0,Medium
INC0032138,3 - Moderate,Category 57,Group 65,0.346,1,0,Medium
INC0031958,3 - Moderate,Category 46,Group 22,0.345,1,1,Medium
INC0030283,3 - Moderate,Category 23,Group 20,0.344,1,1,Medium
INC0118747,3 - Moderate,Category 42,Group 70,0.344,1,0,Medium
INC0034299,3 - Moderate,Category 53,Group 28,0.344,1,0,Medium
INC0032216,3 - Moderate,Category 46,Group 22,0.344,1,0,Medium
INC0033855,3 - Moderate,Category 23,Group 20,0.344,1,1,Medium
INC0030293,3 - Moderate,Category 23,Group 20,0.344,1,1,Medium
INC0032511,3 - Moderate,Category 53,Group 25,0.344,1,0,Medium
INC0030491,3 - Moderate,Category 42,Group 39,0.344,1,0,Medium
INC0030570,3 - Moderate,Category 57,Group 65,0.344,1,0,Medium
INC0031231,3 - Moderate,Category 46,Group 55,0.343,1,0,Medium
INC0031473,3 - Moderate,Category 34,Group 28,0.343,1,0,Medium
INC0028495,3 - Moderate,Category 57,Group 65,0.343,1,1,Medium
INC0029179,3 - Moderate,Category 57,Group 29,0.343,1,0,Medium
INC0096017,3 - Moderate,Category 56,Group 65,0.343,1,0,Medium
INC0030703,3 - Moderate,Category 57,Group 65,0.343,1,0,Medium
INC0029144,3 - Moderate,Category 53,Group 51,0.343,1,0,Medium
INC0030663,3 - Moderate,Category 9,Group 25,0.343,1,1,Medium
INC0032114,3 - Moderate,Category 42,Other,0.343,1,1,Medium
INC0033724,3 - Moderate,Category 46,Group 33,0.343,1,1,Medium
INC0032599,3 - Moderate,Category 51,Group 20,0.343,1,1,Medium
INC0034294,3 - Moderate,Category 42,Group 70,0.342,1,1,Medium
INC0031776,3 - Moderate,Category 61,Group 73,0.342,1,1,Medium
INC0032206,3 - Moderate,Category 57,Group 65,0.342,1,0,Medium
INC0028913,3 - Moderate,Category 61,Group 73,0.342,1,1,Medium
INC0029215,3 - Moderate,Category 24,Other,0.342,1,0,Medium
INC0028314,3 - Moderate,Category 61,Group 73,0.342,1,0,Medium
INC0044690,3 - Moderate,Category 42,Group 55,0.342,1,0,Medium
INC0030245,3 - Moderate,Category 23,Group 20,0.342,1,1,Medium
INC0052223,3 - Moderate,Category 45,Other,0.341,1,0,Medium
INC0052225,3 - Moderate,Category 45,Other,0.341,1,1,Medium
INC0033943,3 - Moderate,Category 23,Group 20,0.341,1,0,Medium
INC0113694,3 - Moderate,Other,Group 70,0.341,1,0,Medium
INC0031109,3 - Moderate,Category 23,Group 20,0.341,1,0,Medium
INC0031521,3 - Moderate,Category 53,Other,0.341,1,0,Medium
INC0032864,3 - Moderate,Category 23,Group 20,0.341,1,1,Medium
INC0033323,3 - Moderate,Category 46,Group 22,0.341,1,0,Medium
INC0030531,3 - Moderate,Category 57,Group 51,0.341,1,0,Medium
INC0031545,3 - Moderate,Category 53,Group 28,0.341,1,0,Medium
INC0029492,3 - Moderate,Category 57,Group 65,0.341,1,0,Medium
INC0031062,3 - Moderate,Category 23,Group 20,0.341,1,0,Medium
INC0029392,3 - Moderate,Category 43,Other,0.34,1,1,Medium
INC0033433,3 - Moderate,Category 23,Group 20,0.34,1,1,Medium
INC0028892,3 - Moderate,Category 46,Group 39,0.339,1,0,Medium
INC0032506,3 - Moderate,Category 19,Group 72,0.339,1,0,Medium
INC0033877,3 - Moderate,Category 57,Group 28,0.339,1,0,Medium
INC0033933,3 - Moderate,Category 23,Group 20,0.339,1,1,Medium
INC0034277,3 - Moderate,Category 53,Group 25,0.339,1,1,Medium
INC0032737,3 - Moderate,Category 23,Group 20,0.338,1,1,Medium
INC0118678,3 - Moderate,Other,Group 70,0.338,1,0,Medium
INC0031977,3 - Moderate,Category 53,Other,0.338,1,0,Medium
INC0028530,3 - Moderate,Category 46,Group 6,0.338,1,0,Medium
INC0098681,3 - Moderate,Category 45,Group 31,0.338,1,0,Medium
INC0033153,3 - Moderate,Category 53,Other,0.338,1,0,Medium
INC0030258,3 - Moderate,Category 57,Group 58,0.337,1,1,Medium
INC0029289,3 - Moderate,Category 53,Group 28,0.337,1,0,Medium
INC0034152,3 - Moderate,Category 42,Group 39,0.337,1,0,Medium
INC0029296,3 - Moderate,Category 53,Group 28,0.337,1,0,Medium
INC0031331,3 - Moderate,Category 19,Group 25,0.337,1,0,Medium
INC0030044,3 - Moderate,Category 44,Group 5,0.337,1,0,Medium
INC0032437,3 - Moderate,Category 9,Group 25,0.337,1,1,Medium
INC0032633,3 - Moderate,Category 23,Group 20,0.336,1,1,Medium
INC0032828,3 - Moderate,Category 44,Group 5,0.336,1,0,Medium
INC0033319,3 - Moderate,Category 46,Group 10,0.336,1,0,Medium
INC0029390,3 - Moderate,Category 53,Group 66,0.336,1,1,Medium
INC0030704,3 - Moderate,Category 23,Group 20,0.336,1,1,Medium
INC0033779,3 - Moderate,Category 42,Group 10,0.336,1,0,Medium
INC0028746,3 - Moderate,Category 24,Group 30,0.336,1,0,Medium
INC0033670,3 - Moderate,Category 53,Group 51,0.335,1,1,Medium
INC0029572,3 - Moderate,Category 24,Group 28,0.335,1,0,Medium
INC0034315,3 - Moderate,Category 23,Group 20,0.335,1,1,Medium
INC0032626,3 - Moderate,Category 44,Group 5,0.335,1,0,Medium
INC0030260,3 - Moderate,Category 9,Group 29,0.334,1,0,Medium
INC0031606,3 - Moderate,Category 42,Group 55,0.334,1,0,Medium
INC0032629,3 - Moderate,Category 9,Group 28,0.334,1,0,Medium
INC0034309,3 - Moderate,Category 57,Other,0.334,1,0,Medium
INC0096025,3 - Moderate,Category 56,Group 65,0.334,1,0,Medium
INC0031147,3 - Moderate,Category 57,Other,0.334,1,0,Medium
INC0032025,3 - Moderate,Category 37,Other,0.334,1,0,Medium
INC0047485,3 - Moderate,Category 45,Other,0.333,1,1,Medium
INC0033729,3 - Moderate,Category 53,Group 25,0.333,1,1,Medium
INC0029221,3 - Moderate,Category 44,Group 5,0.333,1,1,Medium
INC0030221,3 - Moderate,Category 51,Group 55,0.332,1,0,Medium
INC0030162,3 - Moderate,Category 46,Group 39,0.332,1,0,Medium
INC0033879,3 - Moderate,Category 23,Group 20,0.332,1,0,Medium
INC0032197,3 - Moderate,Category 9,Group 25,0.332,1,1,Medium
INC0028482,3 - Moderate,Category 57,Group 58,0.332,1,1,Medium
INC0032347,3 - Moderate,Category 57,Group 65,0.332,1,1,Medium
INC0029097,3 - Moderate,Category 46,Group 33,0.332,1,0,Medium
INC0029109,3 - Moderate,Category 37,Group 29,0.332,1,1,Medium
INC0033690,3 - Moderate,Category 57,Group 54,0.331,1,0,Medium
INC0030734,3 - Moderate,Category 46,Group 39,0.331,1,0,Medium
INC0032572,3 - Moderate,Category 61,Group 25,0.331,1,0,Medium
INC0032598,3 - Moderate,Category 23,Group 20,0.331,1,0,Medium
INC0112734,3 - Moderate,Category 56,Group 65,0.331,1,0,Medium
INC0028814,3 - Moderate,Category 37,Other,0.33,1,0,Medium
INC0069866,3 - Moderate,Other,Group 20,0.33,1,0,Medium
INC0030772,3 - Moderate,Category 53,Group 51,0.33,1,0,Medium
INC0031257,3 - Moderate,Category 57,Group 58,0.33,1,0,Medium
INC0034270,3 - Moderate,Category 9,Group 25,0.329,1,1,Medium
INC0032338,3 - Moderate,Category 51,Group 54,0.329,1,0,Medium
INC0033601,3 - Moderate,Category 53,Group 54,0.329,1,0,Medium
INC0030390,3 - Moderate,Category 42,Group 39,0.329,1,0,Medium
INC0030458,3 - Moderate,Category 37,Group 46,0.329,1,0,Medium
INC0032341,3 - Moderate,Category 51,Group 54,0.329,1,0,Medium
INC0028808,3 - Moderate,Category 53,Group 69,0.329,1,1,Medium
INC0031620,3 - Moderate,Category 9,Group 28,0.329,1,1,Medium
INC0033932,3 - Moderate,Category 61,Group 73,0.328,1,0,Medium
INC0028634,3 - Moderate,Category 44,Group 5,0.328,1,1,Medium
INC0034040,3 - Moderate,Category 57,Group 65,0.328,1,0,Medium
INC0033181,3 - Moderate,Category 46,Group 22,0.328,1,1,Medium
INC0033587,3 - Moderate,Category 57,Group 65,0.328,1,0,Medium
INC0031534,3 - Moderate,Category 57,Group 65,0.328,1,0,Medium
INC0031528,3 - Moderate,Category 57,Group 65,0.328,1,0,Medium
INC0031290,3 - Moderate,Category 46,Group 39,0.327,1,0,Medium
INC0033332,3 - Moderate,Category 19,Group 58,0.327,1,1,Medium
INC0032213,3 - Moderate,Category 61,Group 73,0.327,1,0,Medium
INC0032186,3 - Moderate,Category 43,Group 22,0.327,1,1,Medium
INC0028843,3 - Moderate,Category 61,Group 73,0.327,1,1,Medium
INC0029208,3 - Moderate,Category 57,Group 65,0.327,1,0,Medium
INC0032211,3 - Moderate,Category 37,Group 25,0.327,1,1,Medium
INC0032374,3 - Moderate,Category 23,Group 20,0.326,1,0,Medium
INC0030134,3 - Moderate,Category 23,Group 20,0.326,1,1,Medium
INC0030160,3 - Moderate,Category 61,Other,0.326,1,0,Medium
INC0033129,3 - Moderate,Category 44,Group 5,0.326,1,1,Medium
INC0033806,3 - Moderate,Category 9,Group 25,0.326,1,1,Medium
INC0031157,3 - Moderate,Category 23,Group 20,0.326,1,0,Medium
INC0032533,3 - Moderate,Category 57,Group 65,0.325,1,0,Medium
INC0032730,3 - Moderate,Category 9,Group 28,0.325,1,1,Medium
INC0033813,3 - Moderate,Category 23,Group 20,0.324,1,0,Medium
INC0033592,3 - Moderate,Category 23,Group 20,0.324,1,0,Medium
INC0108046,3 - Moderate,Other,Group 54,0.324,1,0,Medium
INC0033177,3 - Moderate,Category 46,Group 57,0.324,1,1,Medium
INC0031963,3 - Moderate,Category 53,Group 20,0.324,1,0,Medium
INC0034398,3 - Moderate,Category 37,Other,0.324,1,0,Medium
INC0032554,3 - Moderate,Category 34,Group 27,0.324,1,1,Medium
INC0033272,3 - Moderate,Category 57,Group 65,0.324,1,0,Medium
INC0032791,3 - Moderate,Category 23,Group 20,0.323,1,1,Medium
INC0030563,3 - Moderate,Category 9,Group 25,0.323,1,0,Medium
INC0029941,3 - Moderate,Category 9,Group 28,0.323,1,1,Medium
INC0032469,3 - Moderate,Category 34,Group 20,0.323,1,0,Medium
INC0030082,3 - Moderate,Category 9,Group 25,0.322,1,1,Medium
INC0032549,3 - Moderate,Category 42,Group 39,0.322,1,0,Medium
INC0114499,3 - Moderate,Other,Group 70,0.322,1,0,Medium
INC0030136,3 - Moderate,Category 9,Group 25,0.322,1,1,Medium
INC0028898,3 - Moderate,Category 53,Group 25,0.321,1,0,Medium
INC0098346,3 - Moderate,Category 42,Group 70,0.321,1,0,Medium
INC0028907,3 - Moderate,Category 44,Group 5,0.321,1,0,Medium
INC0030059,3 - Moderate,Category 57,Group 65,0.321,1,0,Medium
INC0028775,3 - Moderate,Category 9,Group 27,0.321,1,1,Medium
INC0112706,3 - Moderate,Category 42,Group 70,0.32,1,0,Medium
INC0029400,3 - Moderate,Category 43,Group 22,0.32,1,1,Medium
INC0046593,3 - Moderate,Other,Other,0.32,1,0,Medium
INC0028729,3 - Moderate,Category 57,Group 58,0.32,1,0,Medium
INC0032287,3 - Moderate,Category 19,Group 24,0.32,1,1,Medium
INC0030886,3 - Moderate,Category 53,Group 51,0.32,1,0,Medium
INC0032063,3 - Moderate,Category 57,Group 65,0.32,1,0,Medium
INC0030480,3 - Moderate,Category 53,Other,0.32,1,1,Medium
INC0029878,3 - Moderate,Category 34,Group 27,0.32,1,0,Medium
INC0029914,3 - Moderate,Category 53,Other,0.32,1,1,Medium
INC0028965,3 - Moderate,Category 37,Group 25,0.32,1,0,Medium
INC0028779,3 - Moderate,Category 37,Other,0.319,1,1,Medium
INC0069401,3 - Moderate,Category 45,Group 22,0.319,1,0,Medium
INC0029114,3 - Moderate,Category 9,Group 29,0.319,1,0,Medium
INC0033508,3 - Moderate,Category 53,Other,0.318,1,0,Medium
INC0033703,3 - Moderate,Category 46,Other,0.318,1,1,Medium
INC0028984,3 - Moderate,Category 57,Group 65,0.318,1,0,Medium
INC0033675,3 - Moderate,Category 61,Group 73,0.318,1,0,Medium
INC0033180,3 - Moderate,Category 57,Group 65,0.318,1,1,Medium
INC0031438,3 - Moderate,Category 19,Group 72,0.318,1,1,Medium
INC0032462,3 - Moderate,Category 9,Group 25,0.318,1,1,Medium
INC0032635,3 - Moderate,Category 53,Group 25,0.318,1,1,Medium
INC0032907,3 - Moderate,Category 37,Other,0.318,1,0,Medium
INC0030625,3 - Moderate,Category 23,Group 20,0.318,1,1,Medium
INC0030888,3 - Moderate,Category 44,Group 5,0.318,1,0,Medium
INC0028393,3 - Moderate,Category 61,Group 73,0.317,1,0,Medium
INC0031927,3 - Moderate,Category 23,Group 20,0.317,1,0,Medium
INC0033957,3 - Moderate,Category 61,Group 73,0.317,1,1,Medium
INC0033993,3 - Moderate,Category 42,Group 55,0.317,1,0,Medium
INC0029886,3 - Moderate,Category 40,Group 69,0.317,1,1,Medium
INC0030655,3 - Moderate,Category 23,Group 20,0.317,1,1,Medium
INC0028752,3 - Moderate,Category 61,Group 73,0.317,1,0,Medium
INC0032134,3 - Moderate,Category 23,Group 20,0.316,1,1,Medium
INC0032685,3 - Moderate,Category 19,Group 28,0.316,1,1,Medium
INC0033558,3 - Moderate,Category 57,Group 65,0.316,1,1,Medium
INC0029408,3 - Moderate,Category 44,Group 5,0.316,1,1,Medium
INC0031352,3 - Moderate,Category 8,Other,0.316,1,1,Medium
INC0031813,3 - Moderate,Category 40,Group 70,0.315,1,0,Medium
INC0031233,3 - Moderate,Category 43,Group 22,0.315,1,1,Medium
INC0031334,3 - Moderate,Category 53,Group 25,0.315,1,0,Medium
INC0032333,3 - Moderate,Category 61,Group 73,0.315,1,0,Medium
INC0031452,3 - Moderate,Category 9,Group 25,0.315,1,0,Medium
INC0029614,3 - Moderate,Category 24,Group 25,0.315,1,0,Medium
INC0030723,3 - Moderate,Category 57,Group 58,0.315,1,1,Medium
INC0031503,3 - Moderate,Category 51,Group 54,0.315,1,1,Medium
INC0029527,3 - Moderate,Category 46,Other,0.314,1,0,Medium
INC0032172,3 - Moderate,Category 44,Group 5,0.314,1,0,Medium
INC0031989,3 - Moderate,Category 24,Group 25,0.314,1,0,Medium
INC0030568,3 - Moderate,Category 57,Group 65,0.314,1,0,Medium
INC0030189,3 - Moderate,Category 23,Group 20,0.314,1,0,Medium
INC0033313,3 - Moderate,Category 53,Group 66,0.314,1,0,Medium
INC0030219,3 - Moderate,Category 57,Group 65,0.314,1,0,Medium
INC0110558,3 - Moderate,Other,Group 70,0.314,1,0,Medium
INC0031587,3 - Moderate,Category 57,Group 65,0.314,1,0,Medium
INC0033701,3 - Moderate,Category 57,Group 65,0.313,1,1,Medium
INC0031731,3 - Moderate,Category 53,Other,0.313,1,0,Medium
INC0031265,3 - Moderate,Category 53,Group 25,0.313,1,1,Medium
INC0028435,3 - Moderate,Category 42,Group 70,0.313,1,0,Medium
INC0030504,3 - Moderate,Category 23,Group 20,0.313,1,1,Medium
INC0030554,3 - Moderate,Category 53,Other,0.312,1,0,Medium
INC0032210,3 - Moderate,Category 37,Group 46,0.312,1,0,Medium
INC0029300,3 - Moderate,Category 61,Group 73,0.312,1,0,Medium
INC0032534,3 - Moderate,Category 23,Group 20,0.312,1,1,Medium
INC0031550,3 - Moderate,Category 23,Group 20,0.312,1,0,Medium
INC0033650,3 - Moderate,Category 34,Group 25,0.312,1,0,Medium
INC0031486,3 - Moderate,Category 23,Group 20,0.311,1,0,Medium
INC0033646,3 - Moderate,Category 61,Group 73,0.311,1,1,Medium
INC0030408,3 - Moderate,Category 42,Group 70,0.311,1,0,Medium
INC0029093,3 - Moderate,Category 57,Group 65,0.311,1,0,Medium
INC0033940,3 - Moderate,Category 53,Group 28,0.311,1,0,Medium
INC0030765,3 - Moderate,Category 61,Group 73,0.31,1,0,Medium
INC0029983,3 - Moderate,Category 53,Group 28,0.31,1,0,Medium
INC0029957,3 - Moderate,Category 44,Group 5,0.31,1,0,Medium
INC0031625,3 - Moderate,Category 23,Group 20,0.31,1,0,Medium
INC0030352,3 - Moderate,Category 57,Group 65,0.31,1,0,Medium
INC0032619,3 - Moderate,Category 23,Group 20,0.31,1,0,Medium
INC0032256,3 - Moderate,Category 44,Group 5,0.31,1,0,Medium
INC0032841,3 - Moderate,Category 23,Group 20,0.31,1,1,Medium
INC0032313,3 - Moderate,Category 53,Group 25,0.309,1,0,Medium
INC0032834,3 - Moderate,Category 9,Group 25,0.309,1,1,Medium
INC0033242,3 - Moderate,Category 53,Group 76,0.309,1,0,Medium
INC0032310,3 - Moderate,Category 53,Group 25,0.309,1,0,Medium
INC0031463,3 - Moderate,Category 23,Group 20,0.309,1,0,Medium
INC0033198,3 - Moderate,Category 23,Group 20,0.308,1,0,Medium
INC0031492,3 - Moderate,Category 37,Other,0.308,1,0,Medium
INC0033605,3 - Moderate,Category 23,Group 20,0.308,1,0,Medium
INC0029180,3 - Moderate,Category 53,Other,0.308,1,0,Medium
INC0029050,3 - Moderate,Category 23,Group 20,0.308,1,0,Medium
INC0032177,3 - Moderate,Category 42,Other,0.308,1,1,Medium
INC0028730,3 - Moderate,Category 23,Group 20,0.307,1,1,Medium
INC0033665,3 - Moderate,Category 53,Group 51,0.307,1,1,Medium
INC0030313,3 - Moderate,Category 43,Group 22,0.307,1,1,Medium
INC0034390,3 - Moderate,Category 32,Group 70,0.307,1,0,Medium
INC0030209,3 - Moderate,Category 44,Group 5,0.307,1,0,Medium
INC0030771,3 - Moderate,Category 61,Group 73,0.307,1,0,Medium
INC0034151,3 - Moderate,Category 53,Other,0.307,1,0,Medium
INC0029447,3 - Moderate,Category 9,Group 28,0.307,1,0,Medium
INC0033711,3 - Moderate,Category 9,Group 25,0.306,1,1,Medium
INC0101875,3 - Moderate,Category 56,Group 65,0.306,1,0,Medium
INC0030718,3 - Moderate,Category 57,Other,0.306,1,0,Medium
INC0034288,3 - Moderate,Category 61,Group 73,0.305,1,0,Medium
INC0034019,3 - Moderate,Category 61,Group 73,0.305,1,0,Medium
INC0055441,3 - Moderate,Category 43,Group 22,0.305,1,1,Medium
INC0033700,3 - Moderate,Category 40,Group 70,0.305,1,0,Medium
INC0029146,3 - Moderate,Category 23,Group 20,0.305,1,0,Medium
INC0029335,3 - Moderate,Category 44,Group 5,0.305,1,0,Medium
INC0029913,3 - Moderate,Category 46,Other,0.305,1,1,Medium
INC0028524,3 - Moderate,Category 53,Other,0.304,1,1,Medium
INC0102970,3 - Moderate,Other,Group 70,0.304,1,0,Medium
INC0033024,3 - Moderate,Category 40,Group 70,0.304,1,1,Medium
INC0102978,3 - Moderate,Other,Group 70,0.304,1,0,Medium
INC0029986,3 - Moderate,Category 26,Group 70,0.304,1,0,Medium
INC0029955,3 - Moderate,Category 57,Group 58,0.304,1,1,Medium
INC0031295,3 - Moderate,Category 61,Group 73,0.303,1,0,Medium
INC0032248,3 - Moderate,Category 53,Other,0.303,1,0,Medium
